verkaufs_id;datum;wochentag;menue_id;gericht;kategorie;verkaufte_portionen;reste_portionen;preis_eur;umsatz_eur;wetter
V0068;25.03.2026;Mittwoch;M01;Spaghetti mit Tomatensoße;vegetarisch;38;3;3,20;121,60;sonnig
V0069;25.03.2026;Mittwoch;M10;Falafel-Teller;vegan;36;0;3,80;136,80;sonnig
V0070;26.03.2026;Donnerstag;M10;Falafel-Teller;vegan;45;5;3,80;171,00;bewölkt
V0071;26.03.2026;Donnerstag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;51;2;3,40;173,40;bewölkt
V0072;26.03.2026;Donnerstag;M04;Linsencurry mit Fladenbrot;vegan;36;5;3,50;126,00;bewölkt
V0073;27.03.2026;Freitag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;51;5;3,40;173,40;regnerisch
V0074;27.03.2026;Freitag;M05;Fischfilet mit Kartoffelpüree;Fisch;18;0;3,90;70,20;regnerisch
V0075;27.03.2026;Freitag;M09;Käsespätzle mit Salat;vegetarisch;49;3;3,60;176,40;regnerisch
V0076;30.03.2026;Montag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;38;3;3,80;144,40;kalt
V0077;30.03.2026;Montag;M07;Chili sin Carne;vegan;32;0;3,40;108,80;kalt
V0078;30.03.2026;Montag;M04;Linsencurry mit Fladenbrot;vegan;20;2;3,50;70,00;kalt
V0079;31.03.2026;Dienstag;M05;Fischfilet mit Kartoffelpüree;Fisch;21;0;3,90;81,90;kalt
V0080;31.03.2026;Dienstag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;33;3;3,80;125,40;kalt
V0081;31.03.2026;Dienstag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;60;2;3,40;204,00;kalt
V0082;01.04.2026;Mittwoch;M09;Käsespätzle mit Salat;vegetarisch;47;0;3,60;169,20;kalt
V0083;01.04.2026;Mittwoch;M01;Spaghetti mit Tomatensoße;vegetarisch;43;2;3,20;137,60;kalt
V0084;01.04.2026;Mittwoch;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;27;3;3,80;102,60;kalt
V0085;02.04.2026;Donnerstag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;41;1;3,80;155,80;bewölkt
V0086;02.04.2026;Donnerstag;M08;Rindergulasch mit Nudeln;Fleisch;33;0;4,10;135,30;bewölkt
V0087;02.04.2026;Donnerstag;M07;Chili sin Carne;vegan;31;0;3,40;105,40;bewölkt
V0088;03.04.2026;Freitag;M07;Chili sin Carne;vegan;37;1;3,40;125,80;bewölkt
V0089;03.04.2026;Freitag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;41;0;3,80;155,80;bewölkt
V0090;03.04.2026;Freitag;M06;Gemüseburger mit Ofenkartoffeln;vegetarisch;44;3;3,70;162,80;bewölkt
V0091;06.04.2026;Montag;M06;Gemüseburger mit Ofenkartoffeln;vegetarisch;47;3;3,70;173,90;bewölkt
V0092;06.04.2026;Montag;M01;Spaghetti mit Tomatensoße;vegetarisch;45;2;3,20;144,00;bewölkt
V0093;06.04.2026;Montag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;42;0;3,40;142,80;bewölkt
V0094;07.04.2026;Dienstag;M09;Käsespätzle mit Salat;vegetarisch;48;0;3,60;172,80;regnerisch
V0095;07.04.2026;Dienstag;M08;Rindergulasch mit Nudeln;Fleisch;47;3;4,10;192,70;regnerisch
V0096;07.04.2026;Dienstag;M10;Falafel-Teller;vegan;31;2;3,80;117,80;regnerisch
V0097;08.04.2026;Mittwoch;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;40;4;3,80;152,00;kalt
V0098;08.04.2026;Mittwoch;M08;Rindergulasch mit Nudeln;Fleisch;41;3;4,10;168,10;kalt
V0099;08.04.2026;Mittwoch;M04;Linsencurry mit Fladenbrot;vegan;23;0;3,50;80,50;kalt
V0100;09.04.2026;Donnerstag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;37;4;3,80;140,60;sonnig
V0101;09.04.2026;Donnerstag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;51;0;3,40;173,40;sonnig
V0102;09.04.2026;Donnerstag;M07;Chili sin Carne;vegan;35;0;3,40;119,00;sonnig
V0103;10.04.2026;Freitag;M09;Käsespätzle mit Salat;vegetarisch;50;4;3,60;180,00;kalt
V0104;10.04.2026;Freitag;M10;Falafel-Teller;vegan;34;1;3,80;129,20;kalt
V0105;10.04.2026;Freitag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;33;0;3,40;112,20;kalt
V0106;13.04.2026;Montag;M06;Gemüseburger mit Ofenkartoffeln;vegetarisch;44;4;3,70;162,80;sonnig
V0107;13.04.2026;Montag;M04;Linsencurry mit Fladenbrot;vegan;29;0;3,50;101,50;sonnig
V0108;13.04.2026;Montag;M10;Falafel-Teller;vegan;27;3;3,80;102,60;sonnig
V0109;14.04.2026;Dienstag;M09;Käsespätzle mit Salat;vegetarisch;46;4;3,60;165,60;regnerisch
V0110;14.04.2026;Dienstag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;41;4;3,40;139,40;regnerisch
V0111;14.04.2026;Dienstag;M05;Fischfilet mit Kartoffelpüree;Fisch;45;1;3,90;175,50;regnerisch
V0112;15.04.2026;Mittwoch;M10;Falafel-Teller;vegan;15;2;3,80;57,00;regnerisch
V0113;15.04.2026;Mittwoch;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;38;2;3,80;144,40;regnerisch
V0114;15.04.2026;Mittwoch;M06;Gemüseburger mit Ofenkartoffeln;vegetarisch;52;3;3,70;192,40;regnerisch
V0115;16.04.2026;Donnerstag;M01;Spaghetti mit Tomatensoße;vegetarisch;37;0;3,20;118,40;sonnig
V0116;16.04.2026;Donnerstag;M08;Rindergulasch mit Nudeln;Fleisch;45;3;4,10;184,50;sonnig
V0117;16.04.2026;Donnerstag;M05;Fischfilet mit Kartoffelpüree;Fisch;35;0;3,90;136,50;sonnig
V0118;17.04.2026;Freitag;M01;Spaghetti mit Tomatensoße;vegetarisch;52;0;3,20;166,40;sonnig
V0119;17.04.2026;Freitag;M10;Falafel-Teller;vegan;28;0;3,80;106,40;sonnig
V0120;17.04.2026;Freitag;M04;Linsencurry mit Fladenbrot;vegan;30;5;3,50;105,00;sonnig
V0121;20.04.2026;Montag;M09;Käsespätzle mit Salat;vegetarisch;50;5;3,60;180,00;sonnig
V0122;20.04.2026;Montag;M08;Rindergulasch mit Nudeln;Fleisch;40;1;4,10;164,00;sonnig
V0123;20.04.2026;Montag;M05;Fischfilet mit Kartoffelpüree;Fisch;27;2;3,90;105,30;sonnig
V0124;21.04.2026;Dienstag;M05;Fischfilet mit Kartoffelpüree;Fisch;38;6;3,90;148,20;bewölkt
V0125;21.04.2026;Dienstag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;45;8;3,40;153,00;bewölkt
V0126;21.04.2026;Dienstag;M10;Falafel-Teller;vegan;31;2;3,80;117,80;bewölkt
V0127;22.04.2026;Mittwoch;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;62;5;3,40;210,80;bewölkt
V0128;22.04.2026;Mittwoch;M07;Chili sin Carne;vegan;27;1;3,40;91,80;bewölkt
V0129;22.04.2026;Mittwoch;M10;Falafel-Teller;vegan;23;0;3,80;87,40;bewölkt
V0130;23.04.2026;Donnerstag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;37;0;3,40;125,80;kalt
V0131;23.04.2026;Donnerstag;M01;Spaghetti mit Tomatensoße;vegetarisch;55;5;3,20;176,00;kalt
V0132;23.04.2026;Donnerstag;M08;Rindergulasch mit Nudeln;Fleisch;42;0;4,10;172,20;kalt
V0133;24.04.2026;Freitag;M01;Spaghetti mit Tomatensoße;vegetarisch;56;4;3,20;179,20;kalt
V0134;24.04.2026;Freitag;M04;Linsencurry mit Fladenbrot;vegan;23;0;3,50;80,50;kalt
V0135;24.04.2026;Freitag;M09;Käsespätzle mit Salat;vegetarisch;39;3;3,60;140,40;kalt
V0136;27.04.2026;Montag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;39;0;3,40;132,60;kalt
V0137;27.04.2026;Montag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;46;2;3,80;174,80;kalt
V0138;27.04.2026;Montag;M01;Spaghetti mit Tomatensoße;vegetarisch;57;4;3,20;182,40;kalt
V0139;28.04.2026;Dienstag;M09;Käsespätzle mit Salat;vegetarisch;34;2;3,60;122,40;bewölkt
V0140;28.04.2026;Dienstag;M01;Spaghetti mit Tomatensoße;vegetarisch;47;6;3,20;150,40;bewölkt
V0141;28.04.2026;Dienstag;M10;Falafel-Teller;vegan;37;3;3,80;140,60;bewölkt
V0142;29.04.2026;Mittwoch;M07;Chili sin Carne;vegan;36;0;3,40;122,40;sonnig
V0143;29.04.2026;Mittwoch;M08;Rindergulasch mit Nudeln;Fleisch;54;1;4,10;221,40;sonnig
V0144;29.04.2026;Mittwoch;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;39;0;3,40;132,60;sonnig
V0145;30.04.2026;Donnerstag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;49;6;3,40;166,60;kalt
V0146;30.04.2026;Donnerstag;M05;Fischfilet mit Kartoffelpüree;Fisch;27;1;3,90;105,30;kalt
V0147;30.04.2026;Donnerstag;M04;Linsencurry mit Fladenbrot;vegan;22;2;3,50;77,00;kalt
V0148;01.05.2026;Freitag;M05;Fischfilet mit Kartoffelpüree;Fisch;46;5;3,90;179,40;sonnig
V0149;01.05.2026;Freitag;M10;Falafel-Teller;vegan;31;0;3,80;117,80;sonnig
V0150;01.05.2026;Freitag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;51;0;3,80;193,80;sonnig
