fehler_id;datum;uhrzeit;system;fehlercode;beschreibung;prioritaet;ort;status;loesungsdauer_min;zustaendig
F-0108;23.06.2026;16:40;Beamersteuerung;E203;Netzwerk nicht erreichbar;hoch;Raum 101;gelöst;5;Systembetreuung
F-0109;19.03.2026;05:41;WLAN;E203;Netzwerk nicht erreichbar;hoch;Raum 214;gelöst;120;IT-AG
F-0110;07.05.2026;06:35;Raum-PC;E607;Update ausstehend;niedrig;Bibliothek;gelöst;120;Systembetreuung
F-0111;09.05.2026;15:00;Beamersteuerung;E607;Update ausstehend;niedrig;Raum 214;gelöst;90;IT-AG
F-0112;04.05.2026;01:32;Raum-PC;E101;Anmeldung fehlgeschlagen;mittel;Bibliothek;gelöst;180;Systembetreuung
F-0113;22.03.2026;02:38;Beamersteuerung;E305;Druckauftrag abgebrochen;niedrig;Lehrerzimmer;gelöst;5;Hausmeister
F-0114;03.05.2026;08:15;Beamersteuerung;E101;Anmeldung fehlgeschlagen;mittel;Lehrerzimmer;in Bearbeitung;;Systembetreuung
F-0115;09.03.2026;17:28;WLAN;E411;Speicherplatz knapp;mittel;Serverraum;in Bearbeitung;;Hausmeister
F-0116;01.03.2026;00:10;WLAN;E305;Druckauftrag abgebrochen;niedrig;Raum 214;gelöst;60;Hausmeister
F-0117;07.06.2026;01:54;Druckserver;E502;Dienst antwortet nicht;hoch;Lehrerzimmer;gelöst;20;Systembetreuung
F-0118;01.05.2026;23:36;Beamersteuerung;E101;Anmeldung fehlgeschlagen;mittel;Serverraum;gelöst;20;IT-AG
F-0119;15.06.2026;11:20;Raum-PC;E502;Dienst antwortet nicht;hoch;Raum 214;in Bearbeitung;;Systembetreuung
F-0120;14.03.2026;14:12;WLAN;E411;Speicherplatz knapp;mittel;Serverraum;gelöst;90;Hausmeister
F-0121;13.05.2026;02:20;WLAN;E411;Speicherplatz knapp;mittel;Bibliothek;gelöst;15;externer Support
F-0122;14.05.2026;17:36;Dateiserver;E607;Update ausstehend;niedrig;Sekretariat;gelöst;180;Systembetreuung
F-0123;16.04.2026;14:22;Druckserver;E101;Anmeldung fehlgeschlagen;mittel;Raum 101;in Bearbeitung;;Systembetreuung
F-0124;16.06.2026;13:52;Dateiserver;E203;Netzwerk nicht erreichbar;hoch;Serverraum;in Bearbeitung;;externer Support
F-0125;30.03.2026;23:54;Druckserver;E502;Dienst antwortet nicht;hoch;Raum 214;gelöst;5;Systembetreuung
F-0126;23.06.2026;16:40;Raum-PC;E411;Speicherplatz knapp;mittel;Sekretariat;gelöst;15;Hausmeister
F-0127;14.05.2026;19:31;WLAN;E203;Netzwerk nicht erreichbar;hoch;Sekretariat;gelöst;60;IT-AG
F-0128;29.04.2026;16:31;Beamersteuerung;E411;Speicherplatz knapp;mittel;Lehrerzimmer;gelöst;30;Hausmeister
F-0129;11.06.2026;06:55;Dateiserver;E203;Netzwerk nicht erreichbar;hoch;Lehrerzimmer;gelöst;5;externer Support
F-0130;18.04.2026;21:58;WLAN;E502;Dienst antwortet nicht;hoch;Raum 214;gelöst;5;Systembetreuung
F-0131;12.03.2026;17:33;WLAN;E305;Druckauftrag abgebrochen;niedrig;Serverraum;in Bearbeitung;;Systembetreuung
F-0132;21.06.2026;12:03;Dateiserver;E411;Speicherplatz knapp;mittel;Sekretariat;offen;;Hausmeister
F-0133;21.03.2026;21:40;Beamersteuerung;E502;Dienst antwortet nicht;hoch;Sekretariat;gelöst;30;Systembetreuung
F-0134;07.06.2026;17:38;Dateiserver;E502;Dienst antwortet nicht;hoch;Bibliothek;gelöst;30;externer Support
F-0135;16.06.2026;12:44;Schulportal;E607;Update ausstehend;niedrig;Raum 101;gelöst;60;externer Support
F-0136;07.06.2026;15:57;Druckserver;E502;Dienst antwortet nicht;hoch;Raum 101;gelöst;20;Systembetreuung
F-0137;23.03.2026;19:04;Raum-PC;E607;Update ausstehend;niedrig;Raum 101;gelöst;30;externer Support
F-0138;18.05.2026;01:14;Dateiserver;E411;Speicherplatz knapp;mittel;Raum 101;in Bearbeitung;;externer Support
F-0139;23.03.2026;14:03;WLAN;E101;Anmeldung fehlgeschlagen;mittel;Sekretariat;gelöst;45;externer Support
F-0140;15.06.2026;15:35;Beamersteuerung;E607;Update ausstehend;niedrig;Sekretariat;in Bearbeitung;;IT-AG
F-0141;14.05.2026;13:09;Druckserver;E305;Druckauftrag abgebrochen;niedrig;Raum 101;gelöst;60;Systembetreuung
F-0142;27.05.2026;20:49;Raum-PC;E101;Anmeldung fehlgeschlagen;mittel;Sekretariat;gelöst;90;IT-AG
F-0143;20.03.2026;19:24;Raum-PC;E203;Netzwerk nicht erreichbar;hoch;Raum 101;gelöst;10;Hausmeister
F-0144;09.06.2026;01:51;Schulportal;E607;Update ausstehend;niedrig;Sekretariat;gelöst;30;Systembetreuung
F-0145;17.06.2026;07:16;Beamersteuerung;E101;Anmeldung fehlgeschlagen;mittel;Raum 101;gelöst;60;externer Support
F-0146;18.03.2026;02:12;Schulportal;E101;Anmeldung fehlgeschlagen;mittel;Sekretariat;gelöst;60;Hausmeister
F-0147;27.04.2026;12:59;WLAN;E305;Druckauftrag abgebrochen;niedrig;Raum 214;gelöst;30;Systembetreuung
F-0148;12.05.2026;20:10;Beamersteuerung;E607;Update ausstehend;niedrig;Sekretariat;gelöst;30;externer Support
F-0149;22.04.2026;20:25;Schulportal;E502;Dienst antwortet nicht;hoch;Raum 214;offen;;Hausmeister
F-0150;10.05.2026;18:52;Beamersteuerung;E607;Update ausstehend;niedrig;Raum 214;gelöst;20;IT-AG
F-0151;07.05.2026;22:40;Dateiserver;E305;Druckauftrag abgebrochen;niedrig;Lehrerzimmer;gelöst;30;externer Support
F-0152;12.05.2026;07:12;Raum-PC;E305;Druckauftrag abgebrochen;niedrig;Bibliothek;in Bearbeitung;;IT-AG
F-0153;21.03.2026;14:55;Raum-PC;E101;Anmeldung fehlgeschlagen;mittel;Bibliothek;gelöst;10;externer Support
F-0154;14.03.2026;10:30;Dateiserver;E502;Dienst antwortet nicht;hoch;Raum 101;gelöst;10;IT-AG
F-0155;03.06.2026;17:52;WLAN;E502;Dienst antwortet nicht;hoch;Lehrerzimmer;gelöst;90;externer Support
F-0156;03.04.2026;20:31;Schulportal;E101;Anmeldung fehlgeschlagen;mittel;Sekretariat;gelöst;5;externer Support
F-0157;03.06.2026;02:08;Druckserver;E607;Update ausstehend;niedrig;Raum 101;gelöst;15;externer Support
F-0158;23.04.2026;16:45;Schulportal;E607;Update ausstehend;niedrig;Lehrerzimmer;offen;;Systembetreuung
F-0159;24.05.2026;01:23;WLAN;E502;Dienst antwortet nicht;hoch;Serverraum;gelöst;30;IT-AG
F-0160;01.06.2026;06:18;Dateiserver;E607;Update ausstehend;niedrig;Sekretariat;gelöst;10;externer Support
