datum;uhrzeit;raum;relative_luftfeuchte_prozent;fensterstatus
05.05.2026;19:30;Raum 214;54,8;geschlossen
05.05.2026;19:45;Raum 214;53,9;geschlossen
05.05.2026;20:00;Raum 214;53,8;geschlossen
05.05.2026;20:15;Raum 214;51,9;geschlossen
05.05.2026;20:30;Raum 214;54,3;geschlossen
05.05.2026;20:45;Raum 214;51,0;geschlossen
05.05.2026;21:00;Raum 214;52,5;geschlossen
05.05.2026;21:15;Raum 214;52,0;geschlossen
05.05.2026;21:30;Raum 214;53,5;geschlossen
05.05.2026;21:45;Raum 214;52,2;geschlossen
05.05.2026;22:00;Raum 214;50,4;geschlossen
05.05.2026;22:15;Raum 214;52,3;geschlossen
05.05.2026;22:30;Raum 214;52,0;geschlossen
05.05.2026;22:45;Raum 214;55,0;geschlossen
05.05.2026;23:00;Raum 214;50,4;geschlossen
05.05.2026;23:15;Raum 214;50,7;geschlossen
05.05.2026;23:30;Raum 214;55,1;geschlossen
05.05.2026;23:45;Raum 214;54,4;geschlossen
06.05.2026;00:00;Raum 214;56,1;geschlossen
06.05.2026;00:15;Raum 214;48,6;geschlossen
06.05.2026;00:30;Raum 214;51,1;geschlossen
06.05.2026;00:45;Raum 214;54,4;geschlossen
06.05.2026;01:00;Raum 214;51,2;geschlossen
06.05.2026;01:15;Raum 214;56,8;geschlossen
06.05.2026;01:30;Raum 214;51,5;geschlossen
06.05.2026;01:45;Raum 214;56,1;geschlossen
06.05.2026;02:00;Raum 214;55,8;geschlossen
06.05.2026;02:15;Raum 214;53,2;geschlossen
06.05.2026;02:30;Raum 214;56,9;geschlossen
06.05.2026;02:45;Raum 214;51,6;geschlossen
06.05.2026;03:00;Raum 214;53,1;geschlossen
06.05.2026;03:15;Raum 214;51,4;geschlossen
06.05.2026;03:30;Raum 214;55,8;geschlossen
06.05.2026;03:45;Raum 214;51,7;geschlossen
06.05.2026;04:00;Raum 214;56,5;geschlossen
06.05.2026;04:15;Raum 214;54,5;geschlossen
06.05.2026;04:30;Raum 214;51,3;geschlossen
06.05.2026;04:45;Raum 214;50,4;geschlossen
06.05.2026;05:00;Raum 214;55,1;geschlossen
06.05.2026;05:15;Raum 214;56,0;geschlossen
06.05.2026;05:30;Raum 214;51,6;geschlossen
06.05.2026;05:45;Raum 214;51,9;geschlossen
06.05.2026;06:00;Raum 214;56,8;geschlossen
06.05.2026;06:15;Raum 214;57,3;geschlossen
06.05.2026;06:30;Raum 214;53,8;geschlossen
06.05.2026;06:45;Raum 214;51,6;geschlossen
06.05.2026;07:00;Raum 214;52,2;offen
06.05.2026;07:15;Raum 214;56,0;gekippt
06.05.2026;07:30;Raum 214;49,7;gekippt
06.05.2026;07:45;Raum 214;53,9;gekippt
06.05.2026;08:00;Raum 214;54,8;gekippt
06.05.2026;08:15;Raum 214;53,4;gekippt
06.05.2026;08:30;Raum 214;51,5;geschlossen
06.05.2026;08:45;Raum 214;51,1;geschlossen
06.05.2026;09:00;Raum 214;55,3;gekippt
06.05.2026;09:15;Raum 214;54,7;geschlossen
06.05.2026;09:30;Raum 214;51,3;gekippt
06.05.2026;09:45;Raum 214;50,4;offen
06.05.2026;10:00;Raum 214;55,2;offen
06.05.2026;10:15;Raum 214;50,4;gekippt
06.05.2026;10:30;Raum 214;51,4;geschlossen
06.05.2026;10:45;Raum 214;53,3;gekippt
06.05.2026;11:00;Raum 214;53,3;geschlossen
06.05.2026;11:15;Raum 214;56,3;geschlossen
06.05.2026;11:30;Raum 214;51,6;offen
06.05.2026;11:45;Raum 214;54,1;gekippt
06.05.2026;12:00;Raum 214;51,9;geschlossen
06.05.2026;12:15;Raum 214;52,3;offen
06.05.2026;12:30;Raum 214;50,2;geschlossen
06.05.2026;12:45;Raum 214;53,2;geschlossen
06.05.2026;13:00;Raum 214;52,9;gekippt
06.05.2026;13:15;Raum 214;52,4;geschlossen
06.05.2026;13:30;Raum 214;54,7;offen
06.05.2026;13:45;Raum 214;48,8;offen
06.05.2026;14:00;Raum 214;51,1;offen
06.05.2026;14:15;Raum 214;51,2;offen
06.05.2026;14:30;Raum 214;50,2;offen
06.05.2026;14:45;Raum 214;50,8;offen
06.05.2026;15:00;Raum 214;50,7;gekippt
06.05.2026;15:15;Raum 214;48,4;offen
06.05.2026;15:30;Raum 214;51,4;gekippt
06.05.2026;15:45;Raum 214;52,6;geschlossen
06.05.2026;16:00;Raum 214;52,1;geschlossen
06.05.2026;16:15;Raum 214;53,0;geschlossen
06.05.2026;16:30;Raum 214;56,5;geschlossen
06.05.2026;16:45;Raum 214;49,3;geschlossen
06.05.2026;17:00;Raum 214;48,7;geschlossen
06.05.2026;17:15;Raum 214;47,9;geschlossen
06.05.2026;17:30;Raum 214;47,1;geschlossen
06.05.2026;17:45;Raum 214;52,4;geschlossen
06.05.2026;18:00;Raum 214;52,0;geschlossen
06.05.2026;18:15;Raum 214;53,7;geschlossen
06.05.2026;18:30;Raum 214;54,0;geschlossen
06.05.2026;18:45;Raum 214;50,3;geschlossen
06.05.2026;19:00;Raum 214;52,5;geschlossen
06.05.2026;19:15;Raum 214;52,3;geschlossen
06.05.2026;19:30;Raum 214;56,2;geschlossen
06.05.2026;19:45;Raum 214;49,5;geschlossen
06.05.2026;20:00;Raum 214;53,3;geschlossen
06.05.2026;20:15;Raum 214;51,8;geschlossen
06.05.2026;20:30;Raum 214;51,7;geschlossen
06.05.2026;20:45;Raum 214;57,0;geschlossen
06.05.2026;21:00;Raum 214;53,7;geschlossen
06.05.2026;21:15;Raum 214;49,5;geschlossen
06.05.2026;21:30;Raum 214;53,1;geschlossen
06.05.2026;21:45;Raum 214;51,2;geschlossen
06.05.2026;22:00;Raum 214;54,3;geschlossen
06.05.2026;22:15;Raum 214;53,8;geschlossen
06.05.2026;22:30;Raum 214;52,2;geschlossen
06.05.2026;22:45;Raum 214;54,2;geschlossen
06.05.2026;23:00;Raum 214;51,8;geschlossen
06.05.2026;23:15;Raum 214;51,8;geschlossen
06.05.2026;23:30;Raum 214;57,9;geschlossen
06.05.2026;23:45;Raum 214;56,0;geschlossen
07.05.2026;00:00;Raum 214;54,8;geschlossen
07.05.2026;00:15;Raum 214;51,0;geschlossen
07.05.2026;00:30;Raum 214;55,6;geschlossen
07.05.2026;00:45;Raum 214;55,9;geschlossen
07.05.2026;01:00;Raum 214;55,4;geschlossen
07.05.2026;01:15;Raum 214;52,6;geschlossen
07.05.2026;01:30;Raum 214;56,2;geschlossen
07.05.2026;01:45;Raum 214;51,7;geschlossen
07.05.2026;02:00;Raum 214;52,4;geschlossen
07.05.2026;02:15;Raum 214;55,8;geschlossen
07.05.2026;02:30;Raum 214;52,6;geschlossen
07.05.2026;02:45;Raum 214;52,5;geschlossen
07.05.2026;03:00;Raum 214;51,3;geschlossen
07.05.2026;03:15;Raum 214;58,8;geschlossen
07.05.2026;03:30;Raum 214;51,3;geschlossen
07.05.2026;03:45;Raum 214;53,5;geschlossen
07.05.2026;04:00;Raum 214;51,9;geschlossen
07.05.2026;04:15;Raum 214;53,5;geschlossen
07.05.2026;04:30;Raum 214;49,9;geschlossen
07.05.2026;04:45;Raum 214;53,1;geschlossen
07.05.2026;05:00;Raum 214;56,1;geschlossen
07.05.2026;05:15;Raum 214;54,5;geschlossen
07.05.2026;05:30;Raum 214;55,6;geschlossen
07.05.2026;05:45;Raum 214;51,9;geschlossen
07.05.2026;06:00;Raum 214;57,2;geschlossen
07.05.2026;06:15;Raum 214;55,5;geschlossen
07.05.2026;06:30;Raum 214;53,4;geschlossen
07.05.2026;06:45;Raum 214;57,3;geschlossen
07.05.2026;07:00;Raum 214;52,8;geschlossen
07.05.2026;07:15;Raum 214;54,1;offen
07.05.2026;07:30;Raum 214;56,1;geschlossen
07.05.2026;07:45;Raum 214;53,2;geschlossen
07.05.2026;08:00;Raum 214;53,6;geschlossen
07.05.2026;08:15;Raum 214;51,3;geschlossen
07.05.2026;08:30;Raum 214;46,5;offen
07.05.2026;08:45;Raum 214;55,6;offen
07.05.2026;09:00;Raum 214;53,7;geschlossen
07.05.2026;09:15;Raum 214;51,2;gekippt
07.05.2026;09:30;Raum 214;50,6;geschlossen
07.05.2026;09:45;Raum 214;52,7;gekippt
07.05.2026;10:00;Raum 214;52,7;gekippt
07.05.2026;10:15;Raum 214;52,1;offen
07.05.2026;10:30;Raum 214;53,3;geschlossen
07.05.2026;10:45;Raum 214;53,3;geschlossen
07.05.2026;11:00;Raum 214;52,7;geschlossen
07.05.2026;11:15;Raum 214;52,0;geschlossen
07.05.2026;11:30;Raum 214;49,7;geschlossen
07.05.2026;11:45;Raum 214;50,2;geschlossen
07.05.2026;12:00;Raum 214;53,1;geschlossen
07.05.2026;12:15;Raum 214;53,7;geschlossen
07.05.2026;12:30;Raum 214;49,8;gekippt
07.05.2026;12:45;Raum 214;55,0;offen
07.05.2026;13:00;Raum 214;49,8;gekippt
07.05.2026;13:15;Raum 214;50,7;offen
07.05.2026;13:30;Raum 214;50,2;gekippt
07.05.2026;13:45;Raum 214;57,6;geschlossen
07.05.2026;14:00;Raum 214;49,7;geschlossen
07.05.2026;14:15;Raum 214;52,4;offen
07.05.2026;14:30;Raum 214;55,4;offen
07.05.2026;14:45;Raum 214;53,0;offen
07.05.2026;15:00;Raum 214;50,1;gekippt
07.05.2026;15:15;Raum 214;51,0;geschlossen
07.05.2026;15:30;Raum 214;50,8;offen
07.05.2026;15:45;Raum 214;50,4;geschlossen
07.05.2026;16:00;Raum 214;48,7;geschlossen
07.05.2026;16:15;Raum 214;52,2;geschlossen
07.05.2026;16:30;Raum 214;52,0;geschlossen
07.05.2026;16:45;Raum 214;50,7;geschlossen
07.05.2026;17:00;Raum 214;53,0;geschlossen
07.05.2026;17:15;Raum 214;52,6;geschlossen
07.05.2026;17:30;Raum 214;49,5;geschlossen
07.05.2026;17:45;Raum 214;54,7;geschlossen
07.05.2026;18:00;Raum 214;59,2;geschlossen
07.05.2026;18:15;Raum 214;51,8;geschlossen
07.05.2026;18:30;Raum 214;48,3;geschlossen
07.05.2026;18:45;Raum 214;50,8;geschlossen
07.05.2026;19:00;Raum 214;53,2;geschlossen
07.05.2026;19:15;Raum 214;50,8;geschlossen
07.05.2026;19:30;Raum 214;54,7;geschlossen
07.05.2026;19:45;Raum 214;51,6;geschlossen
07.05.2026;20:00;Raum 214;53,2;geschlossen
07.05.2026;20:15;Raum 214;48,3;geschlossen
07.05.2026;20:30;Raum 214;49,9;geschlossen
07.05.2026;20:45;Raum 214;51,2;geschlossen
07.05.2026;21:00;Raum 214;51,7;geschlossen
07.05.2026;21:15;Raum 214;51,0;geschlossen
07.05.2026;21:30;Raum 214;53,6;geschlossen
07.05.2026;21:45;Raum 214;51,8;geschlossen
07.05.2026;22:00;Raum 214;52,4;geschlossen
07.05.2026;22:15;Raum 214;52,1;geschlossen
07.05.2026;22:30;Raum 214;52,1;geschlossen
07.05.2026;22:45;Raum 214;52,2;geschlossen
07.05.2026;23:00;Raum 214;54,3;geschlossen
07.05.2026;23:15;Raum 214;53,4;geschlossen
07.05.2026;23:30;Raum 214;50,4;geschlossen
07.05.2026;23:45;Raum 214;54,7;geschlossen
08.05.2026;00:00;Raum 214;57,1;geschlossen
08.05.2026;00:15;Raum 214;52,1;geschlossen
08.05.2026;00:30;Raum 214;52,1;geschlossen
08.05.2026;00:45;Raum 214;55,5;geschlossen
08.05.2026;01:00;Raum 214;54,6;geschlossen
08.05.2026;01:15;Raum 214;53,2;geschlossen
08.05.2026;01:30;Raum 214;51,3;geschlossen
08.05.2026;01:45;Raum 214;52,3;geschlossen
08.05.2026;02:00;Raum 214;52,1;geschlossen
08.05.2026;02:15;Raum 214;54,6;geschlossen
08.05.2026;02:30;Raum 214;52,3;geschlossen
08.05.2026;02:45;Raum 214;52,8;geschlossen
08.05.2026;03:00;Raum 214;54,6;geschlossen
08.05.2026;03:15;Raum 214;55,7;geschlossen
08.05.2026;03:30;Raum 214;53,2;geschlossen
08.05.2026;03:45;Raum 214;53,8;geschlossen
08.05.2026;04:00;Raum 214;56,2;geschlossen
08.05.2026;04:15;Raum 214;55,3;geschlossen
08.05.2026;04:30;Raum 214;54,9;geschlossen
08.05.2026;04:45;Raum 214;55,1;geschlossen
08.05.2026;05:00;Raum 214;50,1;geschlossen
08.05.2026;05:15;Raum 214;56,6;geschlossen
08.05.2026;05:30;Raum 214;57,1;geschlossen
08.05.2026;05:45;Raum 214;57,0;geschlossen
08.05.2026;06:00;Raum 214;53,0;geschlossen
08.05.2026;06:15;Raum 214;57,3;geschlossen
08.05.2026;06:30;Raum 214;55,4;geschlossen
08.05.2026;06:45;Raum 214;53,2;geschlossen
08.05.2026;07:00;Raum 214;53,2;gekippt
08.05.2026;07:15;Raum 214;54,2;gekippt
08.05.2026;07:30;Raum 214;54,1;gekippt
08.05.2026;07:45;Raum 214;51,6;geschlossen
08.05.2026;08:00;Raum 214;53,7;offen
08.05.2026;08:15;Raum 214;51,7;offen
08.05.2026;08:30;Raum 214;54,5;geschlossen
08.05.2026;08:45;Raum 214;54,1;geschlossen
08.05.2026;09:00;Raum 214;52,1;offen
08.05.2026;09:15;Raum 214;52,8;gekippt
08.05.2026;09:30;Raum 214;54,3;geschlossen
08.05.2026;09:45;Raum 214;56,3;geschlossen
08.05.2026;10:00;Raum 214;53,6;geschlossen
08.05.2026;10:15;Raum 214;53,3;offen
08.05.2026;10:30;Raum 214;53,1;geschlossen
08.05.2026;10:45;Raum 214;51,5;gekippt
08.05.2026;11:00;Raum 214;51,2;gekippt
08.05.2026;11:15;Raum 214;52,1;offen
08.05.2026;11:30;Raum 214;50,3;offen
08.05.2026;11:45;Raum 214;50,7;gekippt
08.05.2026;12:00;Raum 214;50,4;geschlossen
08.05.2026;12:15;Raum 214;54,9;gekippt
08.05.2026;12:30;Raum 214;51,9;gekippt
08.05.2026;12:45;Raum 214;48,6;gekippt
08.05.2026;13:00;Raum 214;53,8;offen
08.05.2026;13:15;Raum 214;52,6;geschlossen
08.05.2026;13:30;Raum 214;52,0;geschlossen
08.05.2026;13:45;Raum 214;48,3;geschlossen
08.05.2026;14:00;Raum 214;53,2;gekippt
08.05.2026;14:15;Raum 214;53,7;gekippt
08.05.2026;14:30;Raum 214;54,9;geschlossen
08.05.2026;14:45;Raum 214;52,7;geschlossen
08.05.2026;15:00;Raum 214;53,4;gekippt
08.05.2026;15:15;Raum 214;53,3;offen
08.05.2026;15:30;Raum 214;51,6;geschlossen
08.05.2026;15:45;Raum 214;50,2;geschlossen
08.05.2026;16:00;Raum 214;50,0;geschlossen
08.05.2026;16:15;Raum 214;53,6;geschlossen
08.05.2026;16:30;Raum 214;50,5;geschlossen
08.05.2026;16:45;Raum 214;52,5;geschlossen
08.05.2026;17:00;Raum 214;50,3;geschlossen
08.05.2026;17:15;Raum 214;48,8;geschlossen
08.05.2026;17:30;Raum 214;51,6;geschlossen
08.05.2026;17:45;Raum 214;49,8;geschlossen
08.05.2026;18:00;Raum 214;50,3;geschlossen
08.05.2026;18:15;Raum 214;53,2;geschlossen
08.05.2026;18:30;Raum 214;50,2;geschlossen
08.05.2026;18:45;Raum 214;47,1;geschlossen
08.05.2026;19:00;Raum 214;50,4;geschlossen
08.05.2026;19:15;Raum 214;49,9;geschlossen
08.05.2026;19:30;Raum 214;53,1;geschlossen
08.05.2026;19:45;Raum 214;50,6;geschlossen
08.05.2026;20:00;Raum 214;52,1;geschlossen
08.05.2026;20:15;Raum 214;55,8;geschlossen
08.05.2026;20:30;Raum 214;50,7;geschlossen
08.05.2026;20:45;Raum 214;49,4;geschlossen
08.05.2026;21:00;Raum 214;50,1;geschlossen
08.05.2026;21:15;Raum 214;53,4;geschlossen
08.05.2026;21:30;Raum 214;52,5;geschlossen
08.05.2026;21:45;Raum 214;51,4;geschlossen
08.05.2026;22:00;Raum 214;50,6;geschlossen
08.05.2026;22:15;Raum 214;52,6;geschlossen
08.05.2026;22:30;Raum 214;50,2;geschlossen
08.05.2026;22:45;Raum 214;51,9;geschlossen
08.05.2026;23:00;Raum 214;50,2;geschlossen
08.05.2026;23:15;Raum 214;56,4;geschlossen
08.05.2026;23:30;Raum 214;51,9;geschlossen
08.05.2026;23:45;Raum 214;52,9;geschlossen
09.05.2026;00:00;Raum 214;55,3;geschlossen
09.05.2026;00:15;Raum 214;54,9;geschlossen
09.05.2026;00:30;Raum 214;55,6;geschlossen
09.05.2026;00:45;Raum 214;48,9;geschlossen
09.05.2026;01:00;Raum 214;55,8;geschlossen
09.05.2026;01:15;Raum 214;53,5;geschlossen
09.05.2026;01:30;Raum 214;49,0;geschlossen
09.05.2026;01:45;Raum 214;54,9;geschlossen
09.05.2026;02:00;Raum 214;51,8;geschlossen
09.05.2026;02:15;Raum 214;53,5;geschlossen
09.05.2026;02:30;Raum 214;54,3;geschlossen
09.05.2026;02:45;Raum 214;54,4;geschlossen
09.05.2026;03:00;Raum 214;52,4;geschlossen
09.05.2026;03:15;Raum 214;50,9;geschlossen
09.05.2026;03:30;Raum 214;54,5;geschlossen
09.05.2026;03:45;Raum 214;52,3;geschlossen
09.05.2026;04:00;Raum 214;53,7;geschlossen
09.05.2026;04:15;Raum 214;53,9;geschlossen
09.05.2026;04:30;Raum 214;52,2;geschlossen
09.05.2026;04:45;Raum 214;54,2;geschlossen
09.05.2026;05:00;Raum 214;53,9;geschlossen
09.05.2026;05:15;Raum 214;54,5;geschlossen
09.05.2026;05:30;Raum 214;52,8;geschlossen
09.05.2026;05:45;Raum 214;50,5;geschlossen
09.05.2026;06:00;Raum 214;55,7;geschlossen
09.05.2026;06:15;Raum 214;53,3;geschlossen
09.05.2026;06:30;Raum 214;54,8;geschlossen
09.05.2026;06:45;Raum 214;51,5;geschlossen
09.05.2026;07:00;Raum 214;54,9;geschlossen
09.05.2026;07:15;Raum 214;50,7;geschlossen
09.05.2026;07:30;Raum 214;53,9;geschlossen
09.05.2026;07:45;Raum 214;51,4;geschlossen
09.05.2026;08:00;Raum 214;57,0;geschlossen
09.05.2026;08:15;Raum 214;53,2;geschlossen
09.05.2026;08:30;Raum 214;51,3;geschlossen
09.05.2026;08:45;Raum 214;56,5;geschlossen
09.05.2026;09:00;Raum 214;53,8;geschlossen
09.05.2026;09:15;Raum 214;52,0;geschlossen
09.05.2026;09:30;Raum 214;50,9;geschlossen
09.05.2026;09:45;Raum 214;52,0;geschlossen
09.05.2026;10:00;Raum 214;49,6;geschlossen
09.05.2026;10:15;Raum 214;53,6;geschlossen
09.05.2026;10:30;Raum 214;52,1;geschlossen
09.05.2026;10:45;Raum 214;56,1;geschlossen
09.05.2026;11:00;Raum 214;52,3;geschlossen
09.05.2026;11:15;Raum 214;53,7;geschlossen
09.05.2026;11:30;Raum 214;50,3;geschlossen
09.05.2026;11:45;Raum 214;49,8;geschlossen
09.05.2026;12:00;Raum 214;51,9;geschlossen
09.05.2026;12:15;Raum 214;51,4;geschlossen
09.05.2026;12:30;Raum 214;50,6;geschlossen
09.05.2026;12:45;Raum 214;54,5;geschlossen
09.05.2026;13:00;Raum 214;50,1;geschlossen
09.05.2026;13:15;Raum 214;52,9;geschlossen
09.05.2026;13:30;Raum 214;51,2;geschlossen
09.05.2026;13:45;Raum 214;51,7;geschlossen
09.05.2026;14:00;Raum 214;54,7;geschlossen
09.05.2026;14:15;Raum 214;49,2;geschlossen
09.05.2026;14:30;Raum 214;50,4;geschlossen
09.05.2026;14:45;Raum 214;51,6;geschlossen
09.05.2026;15:00;Raum 214;54,4;geschlossen
09.05.2026;15:15;Raum 214;52,8;geschlossen
09.05.2026;15:30;Raum 214;52,5;geschlossen
09.05.2026;15:45;Raum 214;51,3;geschlossen
09.05.2026;16:00;Raum 214;55,2;geschlossen
09.05.2026;16:15;Raum 214;52,9;geschlossen
09.05.2026;16:30;Raum 214;52,2;geschlossen
